
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 01:02:33 ........................................................................................... ~ 0s
  2026-05-13 01:02:33 ........................................................................................... ~ 0s
  2026-05-13 01:02:39 ........................................................................................... ~ 0s
  2026-05-13 01:02:39 ........................................................................................... ~ 0s
  2026-05-13 01:02:42 ........................................................................................... ~ 0s
  2026-05-13 01:02:42 ........................................................................................... ~ 0s
  2026-05-13 01:02:42 ........................................................................................... ~ 0s
  2026-05-13 01:02:46 ........................................................................................... ~ 0s
  2026-05-13 01:02:46 ........................................................................................... ~ 0s
  2026-05-13 01:02:50 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 0s
  2026-05-13 01:02:51 ........................................................................................... ~ 1s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:52 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 0s
  2026-05-13 01:02:53 ........................................................................................... ~ 1s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:54 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
